CLAUSE #,P OR C,IBR,FILL-IN,$$,UCF,FP SUP,CR SUP,FP R&D,CR R&D,FP SVC,CR SVC,FP CON,CR CON,T&M LH,LMV,COM SVC,DDR,A&E,FAC,IND DEL,TRN,UTL SVC
3.2.2.3-82,P,X,,,K,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.2.2.3-83,C,X,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.2.2.5-1,C,,X,,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3.2.2.7-1,C,,X,,I,A,A,,,A,A,,,,A,,,,,A,,
3.2.2.7-2,,,,,,,,,,,,,,,,,,,,,,
3.2.2.7-2 Alternate I,,,,,,,,,,,,,,,,,,,,,,
3.2.2.7-2 Alternate II,,,,,,,,,,,,,,,,,,,,,,
3.2.2.7-3,,,,,,,,,,,,,,,,,,,,,,
3.2.2.7-3 Alternate I,,,,,,,,,,,,,,,,,,,,,,
3.2.2.7-3 Alternate II,,,,,,,,,,,,,,,,,,,,,,
3.2.2.7-4,,,,,,,,,,,,,,,,,,,,,,
3.2.2.7-5,,,,,,,,,,,,,,,,,,,,,,
3.2.2.7-6,C,X,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.2.2.7-7,P,,,,K,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.2.2.7-8,C,X,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.2.2.7-9,P,,X,X,K,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.2.2.8-1,C,X,,,I,R,R,,,,,,,,,,,,,,,
3.2.2.8-2,C,,X,,F,A,,,,A,,,,,A,,,,,A,,
3.2.2.8-3,C,X,,,F,O,,,,,,,,,O,,,,,O,,
3.2.2.8-4,C,,X,,F,,,,,,,O,,,,,,,,,,
3.2.2.8-5,C,,X,,F,,,,,,,O,O,,,,O,,,,,
3.2.2.8-6,C,,X,,F,O,O,O,O,O,O,,,O,O,O,,,O,O,O,O
3.2.2.8-6 Alternate I,C,,X,,F,O,O,O,O,O,O,,,O,O,O,,,O,O,O,O
3.2.2.8-6 Alternate II,C,,X,,F,O,O,O,O,O,O,,,O,O,O,,,O,O,O,O
3.2.2.8-6 Alternate III,C,,X,,F,O,O,O,O,O,O,,,O,O,O,,,O,O,O,O
3.2.2.8-7,C,,,,F,O,O,O,O,O,O,,,O,O,O,,,O,O,O,O
3.2.2.8-7 Alternate I,C,,,,F,O,O,O,O,O,O,,,O,O,O,,,O,O,O,O
3.2.2.8-7 Alternate II,C,,X,,F,O,O,O,O,O,O,,,O,O,O,,,O,O,O,O
3.2.2.8-7 Alternate III,C,,X,,F,O,O,O,O,O,O,,,O,O,O,,,O,O,O,O
3.2.2.8-8,C,,X,,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3.2.3-1,C,,,,K,,A,,A,,A,,A,,,A,A,A,A,A,A,A
3.2.3-2,C,X,,,I,,A,,A,,A,,A,,,A,A,A,A,A,A,A
3.2.3-3,C,X,,,I,,A,,A,,A,,A,,,A,A,A,A,A,A,A
3.2.3-4,C,X,,,I,,A,,A,,A,,A,,,A,A,A,A,A,A,A
3.2.3-5,C,X,,,I,,A,,A,,A,,A,,,A,A,A,A,A,A,A
3.2.4-1,P,,X,,L,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.2.4-2,C,,,,I,A,,,,,,,,,A,,,,,A,,
3.2.4-3,C,,,,I,O,,,,,,,,,O,,,,,O,,
3.2.4-4,C,X,,,I,A,,,,A,,A,,A,A,A,A,A,A,A,A,
3.2.4-5 Alternate I,,,,,,,,,,,,,,,,,,,,,,
3.2.4-5,C,,,,I,,R,,R,,R,,R,A,A,A,A,A,,A,A,
3.2.4-6,C,X,,,I,,R,,R,,R,,R,,,,,,,A,,
3.2.4-7,C,X,,,I,,,,,,,,A,,,,,,,,,
