CLAUSE #,P OR C,IBR,FILL-IN,$$,UCF,FP SUP,CR SUP,FP R&D,CR R&D,FP SVC,CR SVC,FP CON,CR CON,T&M LH,LMV,COM SVC,DDR,A&E,FAC,IND DEL,TRN,UTL SVC
3.11-36,C,X,,,F,A,A,,,,,,,,A,,,,,A,,
3.11-37,C,X,,,F,A,A,,,,,,,,A,,,,,A,,
3.11-38,C,X,,,F,A,A,,,,,,,,A,,,,,A,,
3.11-39,C,X,,,F,A,A,,,,,,,,A,,,,,A,,
3.11-40,C,X,,,F,A,A,,,,,,,,A,,,,,A,,
3.11-41,C,X,,,F,A,A,,,,,,,,A,,,,,A,,
3.11-42,C,X,,,F,A,A,,,,,,,,A,,,,,A,,
3.11-43,C,X,,,F,A,A,,,,,,,,A,,,,,A,,
3.11-44,C,X,,,F,A,A,,,,,,,,A,,,,,A,,
3.11-45,P,X,,,L,A,A,,,,,,,,A,,,,,A,,
3.11-46,P,X,,,L,A,A,,,,,,,,A,,,,,A,,
3.11-47,P,X,,,M,A,A,,,,,,,,A,,,,,A,,
3.11-48,C,X,,,F,A,A,,,,,,,,A,,,,,A,,
3.11-49,P,,X,,M,A,A,,,,,,,,A,,,,,A,,
3.11-50,P,X,,,M,A,A,,,,,,,,A,,,,,A,,
3.11-51,P,,X,,M,A,A,,,,,,,,A,,,,,A,,
3.11-51 Alternate I,P,,,,M,A,A,,,,,,,,A,,,,,A,,
3.11-51 Alternate II,P,,,,M,A,A,,,,,,,,A,,,,,A,,
3.11-51 Alternate III,P,,,,M,A,A,,,,,,,,A,,,,,A,,
3.11-52,P,,,,K,A,A,,,,,,,,A,,,,,A,,
3.11-53,C,X,,,F,A,A,,,,,,,,A,,,,,A,,
3.11-54,P,,X,,M,A,A,,,,,,,,A,,,,,A,,
3.11-55,C,,,,F,A,A,,,,,,,,A,,,,,A,,
3.11-56,C,X,,,F,A,A,,,,,,,,A,,,,,A,,
3.11-57,C,X,,,F,A,A,,,,,,,,A,,,,,A,,
3.11-58,C,,X,,F,A,A,,,,,,,,A,,,,,A,,
3.11-59,C,X,,,F,A,A,,,,,,,,A,,,,,A,,
3.11-60,C,,X,,F,A,A,,,,,,,,A,,,,,A,,
3.11-61,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.11-62,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A
3.11-62 Alternate I,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A
3.11-62 Alternate II,C,X,,,I,,,,,,,A,A,,,,,,,,,
3.11-63,C,X,,,F,A,,,,,,,,,A,,,,,A,,
3.11-64,C,,X,,I,A,,,,A,,A,,,,A,,,,A,,
3.11-65,C,,,,I,,A,,A,A,A,,A,A,,,A,,,A,A,
3.11-66,C,,X,,I,,,,,,,,,,,,,,,,A,
3.11-67,C,,X,,I,,,,,,,,,,,,,,,,A,
3.11-68,C,X,,,I,A,A,A,A,A,A,,,A,A,A,,A,A,A,,
3.11-69,C,X,,,I,A,A,A,A,A,A,,,A,A,A,,A,A,A,,
3.13-1,C,,X,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.13-2,,,,,,,,,,,,,,,,,,,,,,
3.13-2 Alternate I,,,,,,,,,,,,,,,,,,,,,,
3.13-2 Alternate II,,,,,,,,,,,,,,,,,,,,,,
3.13-3,,,,,,,,,,,,,,,,,,,,,,
3.13-4,P,,,,K,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.13-5,C,X,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.13-6,,,,,,,,,,,,,,,,,,,,,,
3.13-7,,,,,,,,,,,,,,,,,,,,,,
3.13-8,,,,,,,,,,,,,,,,,,,,,,
3.13-9,,,,,,,,,,,,,,,,,,,,,,
3.13-10,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.13-11,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.13-13,C,X,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.13-14,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.13-15,C,,,,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.13-16,C,,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.14-1,C,,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.14-1 Alternate I,C,X,,,I,,,A,A,,,,,,,,,,,,,
3.14-1 Alternate II,C,X,,,I,,,,,,,A,A,,,,A,A,,,,
3.14-2,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.14-3,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.14-4,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.14-5,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.14-6,C,X,,,I,A,A,A,A,A,A,A,A,A,,A,,,,A,,
3.14-8,P,,,,L,A,A,A,A,A,A,A,A,A,,A,,,,A,,
3.14-9,C,,,,I,A,A,A,A,A,A,,,A,,,,,,A,,
3.14-10,C,,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.14-11,C,,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.14-12,C,,,,I,A,A,A,A,A,A,A,A,A,,A,,,,A,,
3.14-13,C,,,,I,A,A,A,A,A,A,A,A,A,,A,,,,A,A,
3.14-14,C,,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.17-1,,,,,,,,,,,,,,,,,,,,,,
3.17-2,,,,,,,,,,,,,,,,,,,,,,
3.17-3,,,,,,,,,,,,,,,,,,,,,,
3.18-1,C,,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
